name,health_authority
Port Alberni,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Port Alice,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Port Hardy,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Port McNeill,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Port Renfrew,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Qualicum,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Qualicum Beach,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Saanich,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Salt Spring Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Saturna Island,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Sidney,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Sointula,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Sooke,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Tahsis,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Tofino,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Ucluelet,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Victoria,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
View Royal,d1f5bc5e-9beb-4e9d-b00e-405e6b84611f
Bowen Island,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Gibsons,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Lions Bay,0de2b54b-2acf-49c6-bcf7-34690beb56ba
North Vancouver ,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Powell River,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Richmond,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Sechelt,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Squamish,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Vancouver,0de2b54b-2acf-49c6-bcf7-34690beb56ba
West Vancouver,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Whistler,0de2b54b-2acf-49c6-bcf7-34690beb56ba
Abbotsford,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Anmore,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Belcarra,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Burnaby,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Chilliwack,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Coquitlam,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Delta,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Harrison Hot Springs,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Hope,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Kent,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Langley,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Maple Ridge,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Mission,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
New Westminster,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Pitt Meadows,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Port Coquitlam,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Port Moody,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Surrey,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
White Rock,7ad28cd0-fc9c-4e85-bf11-c23ea7eb5d3a
Atlin,a8dcb200-b731-4f59-9572-4e100baec3e1
Burns Lake,a8dcb200-b731-4f59-9572-4e100baec3e2
Chetwynd,a8dcb200-b731-4f59-9572-4e100baec3e3
Dawson Creek,a8dcb200-b731-4f59-9572-4e100baec3e4
Dease Lake,a8dcb200-b731-4f59-9572-4e100baec3e5
Fort Nelson,a8dcb200-b731-4f59-9572-4e100baec3e6
Fort St James,a8dcb200-b731-4f59-9572-4e100baec3e7
Fort St John,a8dcb200-b731-4f59-9572-4e100baec3e8
Fraser Lake,a8dcb200-b731-4f59-9572-4e100baec3e9
Granisle,a8dcb200-b731-4f59-9572-4e100baec3e10
Grassy Plains,a8dcb200-b731-4f59-9572-4e100baec3e11
Hazelton,a8dcb200-b731-4f59-9572-4e100baec3e12
Houston,a8dcb200-b731-4f59-9572-4e100baec3e13
Hudson's Hope,a8dcb200-b731-4f59-9572-4e100baec3e14
Kitimat,a8dcb200-b731-4f59-9572-4e100baec3e15
Mackenzie,a8dcb200-b731-4f59-9572-4e100baec3e16
Masset,a8dcb200-b731-4f59-9572-4e100baec3e17
McBride,a8dcb200-b731-4f59-9572-4e100baec3e18
Prince George,a8dcb200-b731-4f59-9572-4e100baec3e19
Prince Rupert,a8dcb200-b731-4f59-9572-4e100baec3e20
Queen Charlotte City,a8dcb200-b731-4f59-9572-4e100baec3e21
Quesnel,a8dcb200-b731-4f59-9572-4e100baec3e22
Smithers,a8dcb200-b731-4f59-9572-4e100baec3e23
Stewart,a8dcb200-b731-4f59-9572-4e100baec3e24
Terrace,a8dcb200-b731-4f59-9572-4e100baec3e25
Tumbler Ridge,a8dcb200-b731-4f59-9572-4e100baec3e26
Valemount,a8dcb200-b731-4f59-9572-4e100baec3e27
Vanderhoof,a8dcb200-b731-4f59-9572-4e100baec3e28
100 Mile House,67cc3ea0-5a80-449e-9318-494b2813aed7
Alexis Creek,67cc3ea0-5a80-449e-9318-494b2813aed8
Anahim Lake,67cc3ea0-5a80-449e-9318-494b2813aed9
Armstrong,67cc3ea0-5a80-449e-9318-494b2813aed10
Ashcroft,67cc3ea0-5a80-449e-9318-494b2813aed11
Barriere,67cc3ea0-5a80-449e-9318-494b2813aed12
Blue River,67cc3ea0-5a80-449e-9318-494b2813aed13
Cache Creek,67cc3ea0-5a80-449e-9318-494b2813aed14
Castlegar,67cc3ea0-5a80-449e-9318-494b2813aed15
Celista,67cc3ea0-5a80-449e-9318-494b2813aed16
Chase,67cc3ea0-5a80-449e-9318-494b2813aed17
Clearwater,67cc3ea0-5a80-449e-9318-494b2813aed18
Clinton,67cc3ea0-5a80-449e-9318-494b2813aed19
Coldstream,67cc3ea0-5a80-449e-9318-494b2813aed20
Cranbrook,67cc3ea0-5a80-449e-9318-494b2813aed21
Crawford Bay,67cc3ea0-5a80-449e-9318-494b2813aed22
Creston,67cc3ea0-5a80-449e-9318-494b2813aed23
Edgewood,67cc3ea0-5a80-449e-9318-494b2813aed24
Elkford,67cc3ea0-5a80-449e-9318-494b2813aed25
Enderby,67cc3ea0-5a80-449e-9318-494b2813aed26
Fernie,67cc3ea0-5a80-449e-9318-494b2813aed27
Fruitvale,67cc3ea0-5a80-449e-9318-494b2813aed28
Golden,67cc3ea0-5a80-449e-9318-494b2813aed29
Grand Forks,67cc3ea0-5a80-449e-9318-494b2813aed30
Greenwood,67cc3ea0-5a80-449e-9318-494b2813aed31
Invermere,67cc3ea0-5a80-449e-9318-494b2813aed32
Kamloops,67cc3ea0-5a80-449e-9318-494b2813aed33
Kaslo,67cc3ea0-5a80-449e-9318-494b2813aed34
Kelowna,67cc3ea0-5a80-449e-9318-494b2813aed35
Keremeos,67cc3ea0-5a80-449e-9318-494b2813aed36
Kimberley,67cc3ea0-5a80-449e-9318-494b2813aed37
Lake Country,67cc3ea0-5a80-449e-9318-494b2813aed38
Lillooet,67cc3ea0-5a80-449e-9318-494b2813aed39
Logan Lake,67cc3ea0-5a80-449e-9318-494b2813aed40
Lumby,67cc3ea0-5a80-449e-9318-494b2813aed41
Lytton,67cc3ea0-5a80-449e-9318-494b2813aed42
Merritt,67cc3ea0-5a80-449e-9318-494b2813aed43
Midway,67cc3ea0-5a80-449e-9318-494b2813aed44
Montrose,67cc3ea0-5a80-449e-9318-494b2813aed45
Nakusp,67cc3ea0-5a80-449e-9318-494b2813aed46
Nelson,67cc3ea0-5a80-449e-9318-494b2813aed47
New Denver,67cc3ea0-5a80-449e-9318-494b2813aed48
Oliver,67cc3ea0-5a80-449e-9318-494b2813aed49
Osoyoos,67cc3ea0-5a80-449e-9318-494b2813aed50
Oyama,67cc3ea0-5a80-449e-9318-494b2813aed51
Peachland,67cc3ea0-5a80-449e-9318-494b2813aed52
Penticton,67cc3ea0-5a80-449e-9318-494b2813aed53
Princeton,67cc3ea0-5a80-449e-9318-494b2813aed54
Radium Hot Springs,67cc3ea0-5a80-449e-9318-494b2813aed55
Revelstoke,67cc3ea0-5a80-449e-9318-494b2813aed56
Rock Creek,67cc3ea0-5a80-449e-9318-494b2813aed57
Rossland,67cc3ea0-5a80-449e-9318-494b2813aed58
Salmo,67cc3ea0-5a80-449e-9318-494b2813aed59
Salmon Arm,67cc3ea0-5a80-449e-9318-494b2813aed60
Sicamous,67cc3ea0-5a80-449e-9318-494b2813aed61
Slocan,67cc3ea0-5a80-449e-9318-494b2813aed62
Sorrento,67cc3ea0-5a80-449e-9318-494b2813aed63
Spallumcheen,67cc3ea0-5a80-449e-9318-494b2813aed64
Sparwood,67cc3ea0-5a80-449e-9318-494b2813aed65
Summerland,67cc3ea0-5a80-449e-9318-494b2813aed66
Sun Peaks Mountain,67cc3ea0-5a80-449e-9318-494b2813aed67
Tatla Lake,67cc3ea0-5a80-449e-9318-494b2813aed68
Trail,67cc3ea0-5a80-449e-9318-494b2813aed69
Vernon,67cc3ea0-5a80-449e-9318-494b2813aed70
Warfield,67cc3ea0-5a80-449e-9318-494b2813aed71
West Kelowna,67cc3ea0-5a80-449e-9318-494b2813aed72
Williams Lake,67cc3ea0-5a80-449e-9318-494b2813aed73
Winfield,67cc3ea0-5a80-449e-9318-494b2813aed74
